CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
DRUGS/ALCOHOL VIOLATIONS,12/11/2017 05:07:00 AM,17-064337,POSSESS CONTROLLED SUBSTANCE,77X,500 WEBSTER ST,Oakland,CA,"500 WEBSTER ST
Oakland, CA
(37.796974, -122.272797)"
BURGLARY,01/26/2018 12:25:00 PM,18-004619,BURGLARY-FORCIBLE ENTRY,03X,200 8TH ST,Oakland,CA,"200 8TH ST
Oakland, CA
(37.797857, -122.267813)"
BURGLARY,01/16/2018 01:25:00 AM,18-002771,ATTEMPTED BURGLARY,20X,2700 FOOTHILL BLVD,Oakland,CA,"2700 FOOTHILL BLVD
Oakland, CA
(37.784498, -122.227916)"
ASSAULT,01/25/2018 02:00:00 PM,18-004689,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,30Y,2700 74TH AV,Oakland,CA,"2700 74TH AV
Oakland, CA
(37.767814, -122.172607)"
ASSAULT,11/22/2017 12:04:00 AM,17-060989,BATTERY,24X,2200 35TH AV,Oakland,CA,"2200 35TH AV
Oakland, CA
(37.785085, -122.21532)"
ASSAULT,02/06/2018 04:00:00 PM,18-006709,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,35X,2400 SAVANNAH CT,Oakland,CA,"2400 SAVANNAH CT
Oakland, CA
(37.754349, -122.162049)"
MOTOR VEHICLE THEFT,11/16/2017 10:00:00 AM,17-059954,VEHICLE THEFT - AUTO,PCW,5500 COLISEUM WAY,Oakland,CA,"5500 COLISEUM WAY
Oakland, CA
(37.762713, -122.212455)"
VANDALISM,11/18/2017 12:00:00 AM,17-918296,VANDALISM,12Y,5400 COLLEGE AVE,Oakland,CA,"5400 COLLEGE AVE
Oakland, CA
(37.840313, -122.251336)"
ASSAULT,11/27/2017 03:15:00 AM,17-061847,BATTERY,77X,DOWNTOWN OAKLAND,Oakland,CA,"DOWNTOWN OAKLAND
Oakland, CA
"
VANDALISM,01/15/2018 03:08:00 PM,18-002528,VANDALISM-$400+,30X,7000 LOCKWOOD ST,Oakland,CA,"7000 LOCKWOOD ST
Oakland, CA
(37.76445, -122.182481)"
ASSAULT,11/23/2017 12:00:00 PM,17-061952,THREAT CRIME:INT:TERRORIZE,24Y,3400 PAXTON AV,Oakland,CA,"3400 PAXTON AV
Oakland, CA
(37.786766, -122.217589)"
BURGLARY,11/27/2017 09:00:00 AM,17-918925,BURGLARY-FORCIBLE ENTRY,25X,4300 REINHARDT DRIVE,Oakland,CA,"4300 REINHARDT DRIVE
Oakland, CA
(37.792808, -122.18426)"
THEFT/LARCENY,12/02/2017 05:30:00 PM,17-918924,BURGLARY-AUTO,01X,00 4TH ST,Oakland,CA,"00 4TH ST
Oakland, CA
"
MOTOR VEHICLE THEFT,01/15/2018 01:00:00 PM,18-002578,VEHICLE THEFT - AUTO,31Y,9200 SAN LEANDRO ST,Oakland,CA,"9200 SAN LEANDRO ST
Oakland, CA
(37.742852, -122.184136)"
THEFT/LARCENY,02/01/2018 03:00:00 AM,18-006434,THEFT,30Y,7800 BANCROFT AV,Oakland,CA,"7800 BANCROFT AV
Oakland, CA
(37.763218, -122.173564)"
THEFT/LARCENY,02/05/2018 10:15:00 AM,18-006464,BURGLARY-AUTO,30X,7700 KRAUSE AV,Oakland,CA,"7700 KRAUSE AV
Oakland, CA
(37.762689, -122.176174)"
VANDALISM,11/25/2017 06:30:00 PM,17-061582,VANDALISM-$400+,21X,2200 24TH AV,Oakland,CA,"2200 24TH AV
Oakland, CA
(37.788241, -122.228912)"
THEFT/LARCENY,11/21/2017 10:53:00 AM,17-060826,BURGLARY-AUTO,07X,1600 26TH ST,Oakland,CA,"1600 26TH ST
Oakland, CA
(37.821526, -122.290872)"
THEFT/LARCENY,01/10/2018 12:00:00 PM,18-001779,GRAND THEFT,23X,1500 34TH AV,Oakland,CA,"1500 34TH AV
Oakland, CA
(37.778373, -122.222994)"
THEFT/LARCENY,11/17/2017 07:00:00 PM,17-918335,BURGLARY-AUTO,12Y,5800 BIRCH COURT,Oakland,CA,"5800 BIRCH COURT
Oakland, CA
(37.845963, -122.251931)"
ASSAULT,12/11/2017 10:52:00 AM,17-064391,ASSAULT WITH STUN GUN/TASER,19X,2200 E 12TH ST,Oakland,CA,"2200 E 12TH ST
Oakland, CA
(37.783628, -122.23836)"
DRUGS/ALCOHOL VIOLATIONS,02/06/2018 05:40:00 PM,18-006715,POSSESS CONTROLLED SUBSTANCE,26Y,1200 77TH AV,Oakland,CA,"1200 77TH AV
Oakland, CA
(37.75599, -122.186781)"
WEAPONS,01/16/2018 01:30:00 AM,18-002696,CARRY CONCEALED WEAPON IN VEHICLE,23X,3200 INTERNATIONAL BLVD,Oakland,CA,"3200 INTERNATIONAL BLVD
Oakland, CA
(37.777616, -122.22584)"
BURGLARY,01/01/2018 02:00:00 AM,18-001724,BURGLARY-NO FORCE,04X,1800 SAN PABLO AV,Oakland,CA,"1800 SAN PABLO AV
Oakland, CA
(37.808106, -122.272441)"
VANDALISM,11/23/2017 10:00:00 PM,17-061292,VANDALISM,33X,1100 ELMHURST AV,Oakland,CA,"1100 ELMHURST AV
Oakland, CA
(37.743625, -122.176935)"
MOTOR VEHICLE THEFT,01/14/2018 10:00:00 AM,18-002622,ATTEMPT VEHICLE THEFT-AUTO,22Y,3000 DELAWARE ST,Oakland,CA,"3000 DELAWARE ST
Oakland, CA
(37.79583, -122.206545)"
DRUGS/ALCOHOL VIOLATIONS,11/14/2017 07:05:00 AM,17-059571,POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA,14Y,3200 LAKESHORE AV,Oakland,CA,"3200 LAKESHORE AV
Oakland, CA
(37.810277, -122.245433)"
MOTOR VEHICLE THEFT,01/15/2018 12:47:00 PM,18-002613,VEHICLE THEFT - AUTO,09X,600 FAIRMOUNT AV,Oakland,CA,"600 FAIRMOUNT AV
Oakland, CA
(37.822157, -122.253793)"
DISTURBING THE PEACE,11/24/2017 12:00:00 AM,17-056317,DISTURB THE PEACE,10Y,800 58TH ST,Oakland,CA,"800 58TH ST
Oakland, CA
(37.843405, -122.270562)"
MOTOR VEHICLE THEFT,12/22/2017 11:00:00 PM,17-066685,VEHICLE THEFT - AUTO,17X,1200 E20TH ST,Oakland,CA,"1200 E20TH ST
Oakland, CA
(37.79436, -122.242247)"
VANDALISM,01/06/2018 04:50:00 PM,18-901173,VANDALISM,09X,3800 PIEDMONT AV,Oakland,CA,"3800 PIEDMONT AV
Oakland, CA
(37.823931, -122.255664)"
ROBBERY,01/11/2030 07:00:00 PM,14-023460,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",23X,3600 BLK OF INTERNATIONAL BL,Oakland,CA,"3600 BLK OF INTERNATIONAL BL
Oakland, CA
"
THEFT/LARCENY,01/10/2018 12:00:00 PM,18-003712,GRAND THEFT,02Y,300 CHESTER ST,Oakland,CA,"300 CHESTER ST
Oakland, CA
(37.80288, -122.297011)"
THEFT/LARCENY,01/06/2018 07:00:00 PM,18-901170,BURGLARY-AUTO,12X,4800 TELEGRAPH AV,Oakland,CA,"4800 TELEGRAPH AV
Oakland, CA
(37.834892, -122.262907)"
THEFT/LARCENY,01/11/2018 09:00:00 AM,18-901327,BURGLARY-AUTO,03Y,500 14TH ST,Oakland,CA,"500 14TH ST
Oakland, CA
(37.80492, -122.272704)"
DRUGS/ALCOHOL VIOLATIONS,11/23/2017 09:48:00 AM,17-061175,"IT IS UNLAWFUL TO POSSESS AN OPIUM PIPE OR ANY DEVICE, CONTRIVANCE, INSTRUMENT, OR PARAPHERNALIA USED FOR UNLAWFULLY INJECTING OR SMOKING.",18X,2200 E 17TH ST,Oakland,CA,"2200 E 17TH ST
Oakland, CA
(37.786951, -122.235312)"
MOTOR VEHICLE THEFT,11/27/2017 05:20:00 PM,17-061928,VEHICLE THEFT - AUTO,14X,600 GRAND AV,Oakland,CA,"600 GRAND AV
Oakland, CA
(37.809392, -122.24971)"
BURGLARY,01/11/2018 06:05:00 AM,18-901342,BURGLARY-FORCIBLE ENTRY,07X,800 W GRAND AV,Oakland,CA,"800 W GRAND AV
Oakland, CA
(37.813556, -122.276071)"
ASSAULT,12/25/2017 03:57:00 AM,17-066902,BATTERY,04X,1400 BROADWAY,Oakland,CA,"1400 BROADWAY
Oakland, CA
(37.804511, -122.271059)"
MOTOR VEHICLE THEFT,11/26/2017 10:00:00 PM,17-061945,VEHICLE THEFT - OTHER VEHICLES,16Y,900 GLENDORA AV,Oakland,CA,"900 GLENDORA AV
Oakland, CA
(37.811234, -122.220093)"
MOTOR VEHICLE THEFT,12/11/2017 02:05:00 PM,17-064448,VEHICLE THEFT - AUTO,04X,1500 JEFFERSON ST,Oakland,CA,"1500 JEFFERSON ST
Oakland, CA
(37.806397, -122.274361)"
VANDALISM,11/18/2017 04:00:00 AM,17-918297,VANDALISM,22X,3900 FRUITVALE AVE,Oakland,CA,"3900 FRUITVALE AVE
Oakland, CA
(37.805285, -122.212527)"
WEAPONS,01/15/2018 03:11:00 PM,18-002606,PROHIBITED POSSESS AMMUNITION OR RELOADED AMMUNITION,33X,1300 83RD AV,Oakland,CA,"1300 83RD AV
Oakland, CA
(37.753998, -122.180039)"
MOTOR VEHICLE THEFT,01/11/2018 05:30:00 PM,18-002659,VEHICLE THEFT - AUTO,29X,3400 68TH AV,Oakland,CA,"3400 68TH AV
Oakland, CA
(37.771881, -122.175434)"
THEFT/LARCENY,01/07/2018 11:00:00 PM,18-901225,BURGLARY-AUTO,24Y,3800 ALLENDALE AV,Oakland,CA,"3800 ALLENDALE AV
Oakland, CA
(37.786246, -122.205722)"
ROBBERY,12/11/2017 01:45:00 PM,17-064413,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",25X,4100 MACARTHUR BLVD,Oakland,CA,"4100 MACARTHUR BLVD
Oakland, CA
(37.789468, -122.196741)"
BURGLARY,11/20/2017 08:00:00 AM,17-060779,BURGLARY-FORCIBLE ENTRY,21Y,3000 HYDE ST,Oakland,CA,"3000 HYDE ST
Oakland, CA
(37.789115, -122.222517)"
THEFT/LARCENY,11/17/2017 08:00:00 PM,17-918308,BURGLARY-AUTO,08X,400 25TH ST,Oakland,CA,"400 25TH ST
Oakland, CA
(37.814127, -122.265126)"
THEFT/LARCENY,01/05/2018 11:30:00 PM,18-901118,THEFT,31X,7800 EDGEWATER DR,Oakland,CA,"7800 EDGEWATER DR
Oakland, CA
(37.74178, -122.202883)"
THEFT/LARCENY,12/03/2017 12:20:00 PM,17-918939,GRAND THEFT,03X,1300 JACKSON ST,Oakland,CA,"1300 JACKSON ST
Oakland, CA
(37.801215, -122.265706)"
THEFT/LARCENY,12/28/2017 06:00:00 AM,17-067723,THEFT,31Y,400 HALE AV,Oakland,CA,"400 HALE AV
Oakland, CA
(37.732213, -122.181307)"
THEFT/LARCENY,12/02/2017 12:57:00 PM,17-918928,THEFT,13Z,2000 MOUNTAIN BOULEVARD,Oakland,CA,"2000 MOUNTAIN BOULEVARD
Oakland, CA
(37.827181, -122.209917)"
ASSAULT,12/25/2017 12:00:00 PM,17-066933,BATTERY,30Y,7700 MACARTHUR BLVD,Oakland,CA,"7700 MACARTHUR BLVD
Oakland, CA
(37.766757, -122.168607)"
ASSAULT,01/07/2018 01:36:00 PM,18-001187,SHOOT AT UNOCCUPIED DWELLING/VEHICLE/ETC,23X,3200 INTERNATIONAL BLVD,Oakland,CA,"3200 INTERNATIONAL BLVD
Oakland, CA
(37.777616, -122.22584)"
THEFT/LARCENY,12/31/2017 10:45:00 PM,18-901194,GRAND THEFT,04X,1800 TELEGRAPH AV,Oakland,CA,"1800 TELEGRAPH AV
Oakland, CA
(37.807817, -122.270002)"
THEFT/LARCENY,01/09/2018 09:00:00 AM,18-002038,PERSONATE TO GET MONEY/PROPERTY [OVER $400],17Y,1000 E 23RD ST,Oakland,CA,"1000 E 23RD ST
Oakland, CA
(37.798015, -122.24139)"
THEFT/LARCENY,02/06/2018 04:49:00 PM,18-006731,GRAND THEFT:MONEY/LABOR/PROPERTY  OVER $400,05X,1900 POPLAR ST,Oakland,CA,"1900 POPLAR ST
Oakland, CA
(37.81323, -122.28823)"
VANDALISM,11/17/2017 07:30:00 AM,17-918334,VANDALISM,,500 MANEDELA PARKWAY,Oakland,CA,"500 MANEDELA PARKWAY
Oakland, CA
(37.804214, -122.293943)"
BURGLARY,12/30/2017 08:44:00 PM,17-067777,BURGLARY-FORCIBLE ENTRY,27Y,5600 INTERNATIONAL BLVD,Oakland,CA,"5600 INTERNATIONAL BLVD
Oakland, CA
(37.766255, -122.201938)"
BURGLARY,01/26/2018 08:00:00 AM,18-004885,BURGLARY-FORCIBLE ENTRY,15X,300 NEWTON AV,Oakland,CA,"300 NEWTON AV
Oakland, CA
(37.801715, -122.248682)"
MOTOR VEHICLE THEFT,11/22/2017 07:00:00 PM,17-061173,VEHICLE THEFT - AUTO,26X,800 54TH AV,Oakland,CA,"800 54TH AV
Oakland, CA
(37.763831, -122.210202)"
THEFT/LARCENY,01/10/2018 01:05:00 PM,18-901270,BURGLARY-AUTO,19X,500 EMBARCADERO,Oakland,CA,"500 EMBARCADERO
Oakland, CA
(37.790125, -122.260088)"
THEFT/LARCENY,12/29/2017 09:45:00 AM,18-900636,BURGLARY-AUTO,22Y,00 RISHELL DR,Oakland,CA,"00 RISHELL DR
Oakland, CA
"
ASSAULT,01/06/2018 03:28:00 PM,18-001036,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,02Y,500 HENRY ST,Oakland,CA,"500 HENRY ST
Oakland, CA
(37.805189, -122.297272)"
VANDALISM,01/02/2018 01:20:00 PM,18-900999,VANDALISM,77X,00,Oakland,CA,"00
Oakland, CA
"
MOTOR VEHICLE THEFT,01/27/2018 12:15:00 PM,18-004793,VEHICLE THEFT - AUTO,21Y,2800 BROOKDALE AV,Oakland,CA,"2800 BROOKDALE AV
Oakland, CA
(37.793271, -122.218955)"
MOTOR VEHICLE THEFT,01/02/2018 04:00:00 PM,18-000470,VEHICLE THEFT - AUTO,16X,1000 TRESTLE GLEN RD,Oakland,CA,"1000 TRESTLE GLEN RD
Oakland, CA
(37.807081, -122.236897)"
FRAUD,01/02/2018 02:00:00 PM,18-900836,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,11X,500 52ND ST,Oakland,CA,"500 52ND ST
Oakland, CA
(37.837994, -122.2622)"
ASSAULT,01/15/2018 02:30:00 PM,18-002605,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,33X,1000 85TH AV,Oakland,CA,"1000 85TH AV
Oakland, CA
(37.750264, -122.18366)"
ROBBERY,12/30/2017 07:46:00 PM,17-067775,ROBBERY-FIREARM,06X,3400 SAN PABLO AV,Oakland,CA,"3400 SAN PABLO AV
Oakland, CA
(37.825396, -122.277983)"
VANDALISM,01/02/2018 08:30:00 PM,18-900966,VANDALISM,12X,4400 TELEGRAPH AV,Oakland,CA,"4400 TELEGRAPH AV
Oakland, CA
(37.832591, -122.263509)"
THEFT/LARCENY,11/17/2017 01:30:00 AM,17-918306,BURGLARY-AUTO,15X,2000 LAKESHORE AVE,Oakland,CA,"2000 LAKESHORE AVE
Oakland, CA
(37.804049, -122.252673)"
DUI,11/22/2017 11:43:00 PM,17-061130,DUI ALCOHOL/DRUGS,20X,1900 FRUITVALE AV,Oakland,CA,"1900 FRUITVALE AV
Oakland, CA
(37.783134, -122.223078)"
ASSAULT,12/25/2017 12:19:00 PM,17-066934,ASSAULT WITH FIREARM ON PERSON,08X,300 34TH ST,Oakland,CA,"300 34TH ST
Oakland, CA
(37.82174, -122.260379)"
ASSAULT,01/11/2018 12:27:00 AM,18-001851,SHOOT AT INHABITED DWELLING/VEHICLE/ETC,33X,1200 93RD AV,Oakland,CA,"1200 93RD AV
Oakland, CA
(37.746356, -122.176563)"
THEFT/LARCENY,01/05/2018 03:20:00 PM,18-900980,THEFT,12Y,6300 HILLEGASS AV,Oakland,CA,"6300 HILLEGASS AV
Oakland, CA
(37.850066, -122.254587)"
THEFT/LARCENY,01/11/2018 09:00:00 PM,18-901441,BURGLARY-AUTO,03X,300 8TH ST,Oakland,CA,"300 8TH ST
Oakland, CA
(37.798794, -122.270189)"
MOTOR VEHICLE THEFT,01/26/2018 04:00:00 PM,18-004801,VEHICLE THEFT - AUTO,27X,4500 BANCROFT AV,Oakland,CA,"4500 BANCROFT AV
Oakland, CA
(37.772418, -122.211502)"
MOTOR VEHICLE THEFT,01/02/2018 06:30:00 PM,18-900970,ATTEMPT VEHICLE THEFT-AUTO,35Y,9500 MOUNTAIN BLVD,Oakland,CA,"9500 MOUNTAIN BLVD
Oakland, CA
(37.75773, -122.147594)"
VANDALISM,01/03/2018 08:15:00 PM,18-901008,VANDALISM,14Y,500 LAKE PARK AV,Oakland,CA,"500 LAKE PARK AV
Oakland, CA
(37.810718, -122.247325)"
FRAUD,12/22/2017 10:00:00 PM,18-900861,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,31X,7000 COLISEUM WAY,Oakland,CA,"7000 COLISEUM WAY
Oakland, CA
(37.754734, -122.204926)"
ROBBERY,11/26/2017 07:45:00 PM,17-061740,ROBBERY/INHABITED DWELLING - FIREARM,01X,200 3RD ST,Oakland,CA,"200 3RD ST
Oakland, CA
(37.794649, -122.270557)"
MOTOR VEHICLE THEFT,12/27/2017 06:35:00 AM,18-900844,ATTEMPT VEHICLE THEFT-AUTO,10Y,800 57TH ST,Oakland,CA,"800 57TH ST
Oakland, CA
(37.842041, -122.270293)"
VANDALISM,01/09/2018 08:00:00 AM,18-901311,VANDALISM,32Y,10400 FOOTHILL BLVD,Oakland,CA,"10400 FOOTHILL BLVD
Oakland, CA
(37.745081, -122.151463)"
VANDALISM,01/08/2018 12:55:00 PM,18-901195,VANDALISM,31X,400 HEGENBERGER RD,Oakland,CA,"400 HEGENBERGER RD
Oakland, CA
(37.735772, -122.197083)"
ROBBERY,01/11/2018 10:35:00 PM,18-001964,ATTEMPTED ROBBERY-FIREARM,21Y,2900 COOLIDGE AV,Oakland,CA,"2900 COOLIDGE AV
Oakland, CA
(37.791192, -122.215227)"
VANDALISM,01/10/2018 11:00:00 AM,18-003601,VANDALISM,06X,2500 SAN PABLO AV,Oakland,CA,"2500 SAN PABLO AV
Oakland, CA
(37.815929, -122.274939)"
DISTURBING THE PEACE,01/15/2018 12:23:00 PM,18-002570,DISTURB THE PEACE,03Y,400 7TH ST,Oakland,CA,"400 7TH ST
Oakland, CA
(37.799026, -122.272977)"
THEFT/LARCENY,01/11/2018 03:00:00 PM,18-002055,BURGLARY-AUTO,07X,1500 34TH ST,Oakland,CA,"1500 34TH ST
Oakland, CA
(37.825436, -122.286304)"
MOTOR VEHICLE THEFT,01/04/2018 12:33:00 PM,18-000944,VEHICLE THEFT - AUTO,24Y,2800 35TH AV,Oakland,CA,"2800 35TH AV
Oakland, CA
(37.789002, -122.208629)"
THEFT/LARCENY,01/13/2018 12:00:00 AM,18-901473,BURGLARY-AUTO,03X,300 12TH ST,Oakland,CA,"300 12TH ST
Oakland, CA
(37.796574, -122.256491)"
MOTOR VEHICLE THEFT,12/02/2017 12:00:00 AM,17-064446,VEHICLE THEFT - AUTO,16Y,3700 PARK BOULEVARD WY,Oakland,CA,"3700 PARK BOULEVARD WY
Oakland, CA
(37.804837, -122.231341)"
BURGLARY,01/06/2018 03:59:00 AM,18-000973,ATTEMPTED BURGLARY,26X,4300 JENSEN ST,Oakland,CA,"4300 JENSEN ST
Oakland, CA
(37.767377, -122.221431)"
ASSAULT,11/27/2017 04:10:00 PM,17-061899,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,07X,2300 MARKET ST,Oakland,CA,"2300 MARKET ST
Oakland, CA
(37.815311, -122.27834)"
THEFT/LARCENY,11/15/2017 02:00:00 AM,17-918313,THEFT,14X,400 PERKINS ST,Oakland,CA,"400 PERKINS ST
Oakland, CA
(37.810507, -122.255436)"
ASSAULT,01/11/2018 11:45:00 AM,18-001860,BATTERY,15X,900 MACARTHUR BLVD,Oakland,CA,"900 MACARTHUR BLVD
Oakland, CA
(37.806189, -122.238703)"
VANDALISM,01/15/2018 09:00:00 PM,18-002666,VANDALISM,16Y,1200 HOLMAN RD,Oakland,CA,"1200 HOLMAN RD
Oakland, CA
(37.805832, -122.231139)"
ASSAULT,01/16/2018 12:11:00 PM,18-002779,BATTERY,07X,800 MEAD AV,Oakland,CA,"800 MEAD AV
Oakland, CA
(37.816439, -122.275235)"
DISTURBING THE PEACE,01/05/2018 11:00:00 AM,18-002116,DISTURB THE PEACE,27X,5400 TRASK ST,Oakland,CA,"5400 TRASK ST
Oakland, CA
(37.773461, -122.196831)"
THEFT/LARCENY,01/03/2018 08:40:00 AM,18-901155,GRAND THEFT,06X,900 33RD ST,Oakland,CA,"900 33RD ST
Oakland, CA
(37.823979, -122.275638)"
VANDALISM,11/15/2017 10:00:00 AM,17-059847,VANDALISM,27Y,5500 E 16TH ST,Oakland,CA,"5500 E 16TH ST
Oakland, CA
(37.76862, -122.201394)"
THEFT/LARCENY,01/11/2018 07:20:00 AM,18-901326,BURGLARY-AUTO,05Y,1800 MANDELA PKWY,Oakland,CA,"1800 MANDELA PKWY
Oakland, CA
(37.814079, -122.290121)"
ASSAULT,12/25/2017 01:49:00 PM,17-066944,BATTERY,10X,1000 AILEEN ST,Oakland,CA,"1000 AILEEN ST
Oakland, CA
(37.840401, -122.27836)"
DRUGS/ALCOHOL VIOLATIONS,01/06/2018 02:25:00 AM,18-000971,POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA,10X,1000 ALCATRAZ AV,Oakland,CA,"1000 ALCATRAZ AV
Oakland, CA
(37.847355, -122.281861)"
FRAUD,12/03/2017 03:50:00 PM,17-918965,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,,1300 AVE N S AZUSA AVE,Oakland,CA,"1300 AVE N S AZUSA AVE
Oakland, CA
"
MOTOR VEHICLE THEFT,01/26/2018 09:30:00 AM,18-004615,VEHICLE THEFT - AUTO,30Y,7200 BANCROFT AV,Oakland,CA,"7200 BANCROFT AV
Oakland, CA
(37.766093, -122.177258)"
THEFT/LARCENY,01/04/2018 08:00:00 PM,18-901156,BURGLARY-AUTO,01X,400 JEFFERSON ST,Oakland,CA,"400 JEFFERSON ST
Oakland, CA
(37.799169, -122.278861)"
VANDALISM,11/27/2017 02:40:00 AM,17-061771,VANDALISM-$400+,04X,600 20TH ST,Oakland,CA,"600 20TH ST
Oakland, CA
(37.809993, -122.272269)"
VANDALISM,01/16/2018 01:24:00 AM,18-002693,VANDALISM,07X,2900 POPLAR ST,Oakland,CA,"2900 POPLAR ST
Oakland, CA
(37.82201, -122.285015)"
MOTOR VEHICLE THEFT,12/10/2017 01:30:00 PM,17-064268,VEHICLE THEFT - AUTO,31Y,600 98TH AV,Oakland,CA,"600 98TH AV
Oakland, CA
(37.736066, -122.183396)"
ASSAULT,12/24/2017 11:53:00 PM,17-066885,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,14Y,800 WARFIELD AV,Oakland,CA,"800 WARFIELD AV
Oakland, CA
(37.813245, -122.244436)"
ASSAULT,12/25/2017 08:00:00 PM,18-000942,THREAT CRIME:INT:TERRORIZE,30X,2000 CHURCH ST,Oakland,CA,"2000 CHURCH ST
Oakland, CA
(37.764303, -122.185515)"
THEFT/LARCENY,11/13/2017 09:14:00 AM,17-918982,THEFT,,3300 MARTIN LUTHER KING JR.,Oakland,CA,"3300 MARTIN LUTHER KING JR.
Oakland, CA
(37.822803, -122.270163)"
THEFT/LARCENY,01/09/2018 10:00:00 PM,18-901292,BURGLARY-AUTO,12X,300 41ST ST,Oakland,CA,"300 41ST ST
Oakland, CA
(37.828489, -122.256192)"
BURGLARY,12/04/2017 03:30:00 AM,17-919024,BURGLARY-FORCIBLE ENTRY,14Y,400 CRESCENT ST,Oakland,CA,"400 CRESCENT ST
Oakland, CA
(37.813632, -122.250181)"
ARSON,12/09/2017 10:00:00 PM,17-064322,MAL SET/ETC FIRE PROP/ETC - MOTOR VEHICLES,10Y,800 STANFORD AV,Oakland,CA,"800 STANFORD AV
Oakland, CA
(37.846191, -122.273019)"
ASSAULT,12/10/2017 09:30:00 PM,17-064303,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,34X,2000 90TH AV,Oakland,CA,"2000 90TH AV
Oakland, CA
(37.752712, -122.16764)"
ROBBERY,11/23/2017 09:00:00 AM,17-061168,ROBBERY-FIREARM,32Y,2000 98TH AV,Oakland,CA,"2000 98TH AV
Oakland, CA
(37.747503, -122.163802)"
BURGLARY,01/14/2018 07:00:00 PM,18-002802,BURGLARY-FORCIBLE ENTRY,09X,200 41ST ST,Oakland,CA,"200 41ST ST
Oakland, CA
(37.827541, -122.25388)"
THEFT/LARCENY,11/29/2017 03:00:00 PM,17-918951,BURGLARY-AUTO,31X,300 HEGENBERGER ROAD,Oakland,CA,"300 HEGENBERGER ROAD
Oakland, CA
(37.734696, -122.197574)"
MOTOR VEHICLE THEFT,02/07/2018 06:00:00 AM,18-006844,VEHICLE THEFT - AUTO,07X,1600 34TH ST,Oakland,CA,"1600 34TH ST
Oakland, CA
(37.824989, -122.288508)"
THEFT/LARCENY,01/05/2018 01:05:00 AM,18-901151,GRAND THEFT,25Y,6000 OLD QUARRY LOOP,Oakland,CA,"6000 OLD QUARRY LOOP
Oakland, CA
(37.77777, -122.164363)"
MOTOR VEHICLE THEFT,01/27/2018 08:30:00 PM,18-004879,VEHICLE THEFT - AUTO,26Y,1200 65TH AV,Oakland,CA,"1200 65TH AV
Oakland, CA
(37.761683, -122.196239)"
ROBBERY,11/27/2017 10:20:00 AM,17-061825,"ROBBERY/INHABITED DWELLING - STRONGARM (HANDS, FISTS, FEET)",27Y,2400 SEMINARY AV,Oakland,CA,"2400 SEMINARY AV
Oakland, CA
(37.769943, -122.192671)"
THEFT/LARCENY,01/03/2018 09:10:00 PM,18-901360,THEFT,06X,800 29TH ST,Oakland,CA,"800 29TH ST
Oakland, CA
(37.819203, -122.274156)"
ROBBERY,11/27/2017 09:30:00 PM,17-061930,ROBBERY-OTHER DANGEROUS WEAPON,08X,500 W MACARTHUR BLVD,Oakland,CA,"500 W MACARTHUR BLVD
Oakland, CA
(37.826642, -122.265664)"
ASSAULT,01/16/2018 12:30:00 AM,18-002688,BATTERY,09X,00 MACARTHUR BLVD,Oakland,CA,"00 MACARTHUR BLVD
Oakland, CA
"
VANDALISM,01/11/2018 08:30:00 PM,18-901460,VANDALISM,12X,500 49TH ST,Oakland,CA,"500 49TH ST
Oakland, CA
(37.835756, -122.262788)"
DRUGS/ALCOHOL VIOLATIONS,01/05/2018 11:14:00 PM,18-000943,DISORDERLY CONDUCT:TOLUENE,31X,7000 COLISEUM WY,Oakland,CA,"7000 COLISEUM WY
Oakland, CA
(37.754734, -122.204926)"
THEFT/LARCENY,01/07/2018 04:15:00 PM,18-901141,BURGLARY-AUTO,12X,400 43RD ST,Oakland,CA,"400 43RD ST
Oakland, CA
(37.831956, -122.258863)"
VANDALISM,01/01/2018 05:30:00 PM,18-900848,VANDALISM,08X,2500 BROADWAY,Oakland,CA,"2500 BROADWAY
Oakland, CA
(37.814247, -122.2649)"
MOTOR VEHICLE THEFT,12/29/2017 01:08:00 AM,17-067541,VEHICLE THEFT - AUTO,02X,1100 MAGNOLIA ST,Oakland,CA,"1100 MAGNOLIA ST
Oakland, CA
(37.808009, -122.287865)"
